Indicator,Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023e,2024e
Share_of_GDP,Slovak Republic,0.98,1.11,1.12,1.10,1.22,1.70,1.92,1.74,1.81,1.84,2.00
Share_of_GDP,Slovenia,0.97,0.93,1.00,0.98,1.01,1.05,1.06,1.23,1.29,1.34,1.29
Share_of_GDP,Spain,0.92,0.93,0.81,0.91,0.93,0.91,1.00,1.03,1.16,1.19,1.28
Share_of_GDP,Sweden,1.06,1.01,0.97,0.97,0.97,1.04,1.09,1.42,1.45,1.66,2.14
Share_of_GDP,Turkey,1.45,1.38,1.45,1.51,1.82,1.85,1.86,1.61,1.36,1.50,2.09
Share_of_GDP,United Kingdom,2.14,2.03,2.09,2.08,2.10,2.08,2.35,2.29,2.29,2.30,2.33
Share_of_GDP,United States,3.71,3.51,3.50,3.28,3.26,3.47,3.58,3.53,3.31,3.23,3.38
Share_of_GDP,NATO Europe and Canada,,1.43,1.42,1.44,1.48,1.51,1.54,1.72,1.66,1.66,1.78,2.02
Share_of_GDP,NATO Total,,2.58,2.48,2.48,2.39,2.40,2.52,2.69,2.63,2.51,2.53,2.71
Annual_Real_Change,Albania,-2.74,-11.76,-1.90,4.32,8.84,12.67,-2.17,4.47,1.96,49.27,19.76
Annual_Real_Change,Belgium,-2.25,-4.44,-0.36,0.36,2.69,1.90,7.96,9.64,17.25,3.70,8.89
Annual_Real_Change,Bulgaria,-9.08,-1.56,2.80,0.96,21.79,124.94,-51.16,2.49,9.07,25.37,13.29
Annual_Real_Change,Canada,4.95,20.09,-2.48,27.76,-7.18,1.61,3.37,-5.08,-2.08,10.33,5.46
Annual_Real_Change,Croatia,25.92,-1.03,-5.96,6.15,-2.81,7.19,-3.02,30.82,-2.40,0.73,7.11
Annual_Real_Change,Czechia,-4.91,14.14,-4.61,14.32,10.33,10.14,4.11,10.60,-1.25,2.01,54.65
Annual_Real_Change,Denmark,-4.84,-1.03,6.62,1.98,14.47,2.88,3.76,0.87,8.07,50.04,20.66
Annual_Real_Change,Estonia,3.74,7.42,5.24,2.68,3.73,5.34,12.05,-5.01,5.75,36.12,12.56
Annual_Real_Change,Finland,-6.03,0.42,0.68,0.55,1.39,5.98,2.87,-6.07,21.50,23.28,15.24
Annual_Real_Change,France,-1.21,-1.00,1.38,1.73,3.61,2.11,1.22,2.20,0.93,5.02,6.05
Annual_Real_Change,Germany,-1.39,1.42,3.36,5.50,2.57,9.09,7.48,-0.96,5.56,8.84,29.45
Annual_Real_Change,Greece,0.44,3.72,3.47,0.15,8.55,-1.94,8.25,37.70,10.92,-26.32,11.85
Annual_Real_Change,Hungary,-5.22,9.38,13.19,24.20,-11.19,39.17,25.85,-19.46,45.32,10.57,4.99
Annual_Real_Change,Italy,-9.81,-5.83,12.05,3.75,2.77,-3.94,23.33,4.91,3.07,-0.56,0.12
Annual_Real_Change,Latvia,2.39,14.66,42.29,14.61,34.54,-1.25,3.09,3.10,4.48,35.29,11.56
Annual_Real_Change,Lithuania,19.38,31.96,33.13,20.84,19.38,6.24,3.51,0.67,28.03,13.35,4.25
Annual_Real_Change,Luxembourg,4.92,15.30,-3.82,32.04,2.59,12.37,4.72,-12.62,21.06,31.17,17.86
Annual_Real_Change,Montenegro,4.49,-3.50,4.33,-1.34,7.29,1.36,10.02,1.48,-5.98,18.81,34.97
Annual_Real_Change,Netherlands,0.19,0.26,4.43,2.17,8.41,10.90,2.18,2.59,10.33,15.74,24.25
Annual_Real_Change,North Macedonia,-3.58,-0.09,-4.71,-6.75,8.40,27.73,2.01,22.46,12.94,13.74,26.16
Annual_Real_Change,Norway,5.38,4.72,10.84,0.78,1.43,8.70,5.27,-11.40,-10.02,24.40,22.24
Annual_Real_Change,Poland,11.38,23.75,-7.30,-0.34,12.62,2.87,10.05,6.13,6.33,46.61,30.07
Annual_Real_Change,Portugal,-8.52,3.25,-2.51,1.03,11.40,5.32,-4.60,12.76,-1.85,7.79,6.52
Annual_Real_Change,Romania,8.61,11.05,1.23,31.38,9.57,6.40,5.42,-2.52,-2.49,-5.98,45.63
Annual_Real_Change,Slovak Republic,3.25,18.61,2.51,1.80,15.18,42.97,8.97,-5.03,5.69,3.47,10.36
Annual_Real_Change,Slovenia,-4.42,-2.37,11.42,2.45,7.31,8.03,-3.67,26.10,7.38,5.21,-1.41
Annual_Real_Change,Spain,0.36,4.60,-10.15,15.30,4.81,-0.47,-1.49,8.73,19.47,5.54,9.32
Annual_Real_Change,Sweden,4.28,-1.04,-1.76,1.95,2.49,9.35,2.73,37.53,5.04,14.23,29.87
Annual_Real_Change,Turkey,0.78,1.44,8.64,11.61,23.87,2.85,2.28,-3.83,-10.79,15.45,44.09
Annual_Real_Change,United Kingdom,-1.11,-3.05,4.75,2.11,2.52,0.76,1.27,5.76,4.18,0.87,1.73
Annual_Real_Change,United States,-5.19,-2.84,1.56,-3.81,2.18,9.21,0.77,4.31,-4.27,0.08,7.21
Annual_Real_Change,NATO Europe and Canada,,-0.88,1.63,2.97,5.89,4.25,3.62,4.71,2.54,3.73,9.26,17.95
Annual_Real_Change,NATO Total,,-4.04,-1.61,1.96,-1.03,2.82,7.47,1.95,3.76,-1.83,3.03,10.88
